question,ground_truth,image,mentions,model_prediction
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,pedal box; pedal assembly,1.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/1.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,master cylinders,2.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/2.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,APPS; accelerator pedal position sensor,3.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/3.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,front hoop; front roll hoop,4.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/4.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,roll hoop; roll hoops,5.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/5.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,main hoop,6.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/6.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,front bulkhead; front basket,7.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/7.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,chassis; frame; space frame,8.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/8.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,steering wheel,9.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/9.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,powertrain; drivetrain,10.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/10.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Some parts of the design have been hidden so that the highlighted component(s) can better be visualized. Answer just with the name of the highlighted component(s) and nothing else.,brakes; brake system,11.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/11.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,accumulator; accumulator container; battery,12.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/12.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,rocker arms,13.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/13.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Some parts of the design have been hidden so that the highlighted component(s) can better be visualized. Answer just with the name of the highlighted component(s) and nothing else.,uprights,14.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/14.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Some parts of the design have been hidden so that the highlighted component(s) can better be visualized. Answer just with the name of the highlighted component(s) and nothing else.,wheel centers,15.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/15.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,steering column,16.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/16.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,steering rack,17.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/17.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,aero package; aerodynamic package; aero devices; aerodynamic devices,18.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/18.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,rear wing,19.jpg,not_mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/19.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,undertray; diffuser,20.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/20.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,endplates,21.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/21.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,front wing,22.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/22.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,AArm; AArms,23.jpg,not_mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/23.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,toe rod; toe rods,24.jpg,not_mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/24.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,tie rod; tie rods,25.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/25.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,pull rod; pull rods,26.jpg,not_mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/26.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,ARBs; anti-roll bars,27.jpg,not_mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/27.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,seat,28.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/28.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,nosecone and body panels,29.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/29.jpg
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing six CAD views of our vehicle design. What is the name of the component(s) highlighted in pink? Answer just with the name of the highlighted component(s) and nothing else.,motor,30.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_definition_qa/rule_definition_qa/30.jpg
