question,ground_truth,image,mentions,model_prediction
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing seven CAD views (each boxed in black) of our vehicle design. The top, big view shows a close-up view of the design. The six smaller views on the bottom of the image show different complete views of the CAD of the vehicle and are provided for context. Note that the close-up view orientation matches one of the six complete view orientations. The close-up view may also have some components hidden (with respect to the corresponding complete view) for visualization of specific components. Looking at the close-up view, is/are any part of the the front hoop or the front roll hoop visible in the close-up view? Answer simply with yes or no.",no,1.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_presence_qa/rule_presence_qa/1.jpg
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing seven CAD views (each boxed in black) of our vehicle design. The top, big view shows a close-up view of the design. The six smaller views on the bottom of the image show different complete views of the CAD of the vehicle and are provided for context. Note that the close-up view orientation matches one of the six complete view orientations. The close-up view may also have some components hidden (with respect to the corresponding complete view) for visualization of specific components. Looking at the close-up view, is/are any part of the the front hoop or the front roll hoop visible in the close-up view? Answer simply with yes or no.",yes,2.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_presence_qa/rule_presence_qa/2.jpg
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing seven CAD views (each boxed in black) of our vehicle design. The top, big view shows a close-up view of the design. The six smaller views on the bottom of the image show different complete views of the CAD of the vehicle and are provided for context. Note that the close-up view orientation matches one of the six complete view orientations. The close-up view may also have some components hidden (with respect to the corresponding complete view) for visualization of specific components. Looking at the close-up view, is/are any part of the the pedal box or the pedal assembly visible in the close-up view? Answer simply with yes or no.",no,3.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_presence_qa/rule_presence_qa/3.jpg
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing seven CAD views (each boxed in black) of our vehicle design. The top, big view shows a close-up view of the design. The six smaller views on the bottom of the image show different complete views of the CAD of the vehicle and are provided for context. Note that the close-up view orientation matches one of the six complete view orientations. The close-up view may also have some components hidden (with respect to the corresponding complete view) for visualization of specific components. Looking at the close-up view, is/are any part of the the pedal box or the pedal assembly visible in the close-up view? Answer simply with yes or no.",yes,4.jpg,mentioned,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_presence_qa/rule_presence_qa/4.jpg
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing seven CAD views (each boxed in black) of our vehicle design. The top, big view shows a close-up view of the design. The six smaller views on the bottom of the image show different complete views of the CAD of the vehicle and are provided for context. Note that the close-up view orientation matches one of the six complete view orientations. The close-up view may also have some components hidden (with respect to the corresponding complete view) for visualization of specific components. Looking at the close-up view, is/are any part of the the roll hoop or the roll hoops visible in the close-up view? Answer simply with yes or no.",no,5.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_presence_qa/rule_presence_qa/5.jpg
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing seven CAD views (each boxed in black) of our vehicle design. The top, big view shows a close-up view of the design. The six smaller views on the bottom of the image show different complete views of the CAD of the vehicle and are provided for context. Note that the close-up view orientation matches one of the six complete view orientations. The close-up view may also have some components hidden (with respect to the corresponding complete view) for visualization of specific components. Looking at the close-up view, is/are any part of the the roll hoop or the roll hoops visible in the close-up view? Answer simply with yes or no.",yes,6.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_presence_qa/rule_presence_qa/6.jpg
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing seven CAD views (each boxed in black) of our vehicle design. The top, big view shows a close-up view of the design. The six smaller views on the bottom of the image show different complete views of the CAD of the vehicle and are provided for context. Note that the close-up view orientation matches one of the six complete view orientations. The close-up view may also have some components hidden (with respect to the corresponding complete view) for visualization of specific components. Looking at the close-up view, is/are any part of the the main hoop visible in the close-up view? Answer simply with yes or no.",no,7.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_presence_qa/rule_presence_qa/7.jpg
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing seven CAD views (each boxed in black) of our vehicle design. The top, big view shows a close-up view of the design. The six smaller views on the bottom of the image show different complete views of the CAD of the vehicle and are provided for context. Note that the close-up view orientation matches one of the six complete view orientations. The close-up view may also have some components hidden (with respect to the corresponding complete view) for visualization of specific components. Looking at the close-up view, is/are any part of the the main hoop visible in the close-up view? Answer simply with yes or no.",yes,8.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_presence_qa/rule_presence_qa/8.jpg
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing seven CAD views (each boxed in black) of our vehicle design. The top, big view shows a close-up view of the design. The six smaller views on the bottom of the image show different complete views of the CAD of the vehicle and are provided for context. Note that the close-up view orientation matches one of the six complete view orientations. The close-up view may also have some components hidden (with respect to the corresponding complete view) for visualization of specific components. Looking at the close-up view, is/are any part of the the front bulkhead or the front basket visible in the close-up view? Answer simply with yes or no.",no,9.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_presence_qa/rule_presence_qa/9.jpg
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image showing seven CAD views (each boxed in black) of our vehicle design. The top, big view shows a close-up view of the design. The six smaller views on the bottom of the image show different complete views of the CAD of the vehicle and are provided for context. Note that the close-up view orientation matches one of the six complete view orientations. The close-up view may also have some components hidden (with respect to the corresponding complete view) for visualization of specific components. Looking at the close-up view, is/are any part of the the front bulkhead or the front basket visible in the close-up view? Answer simply with yes or no.",yes,10.jpg,definition,Error: Image not found at ./design_qa/dataset/rule_comprehension/rule_presence_qa/rule_presence_qa/10.jpg
